surface,e1,e2,a
f1,0,0,-0.644627709090561
f1,1,0,0.196102360664951
f1,0,1,0.0208041062738649
f2,0,0,1.1572512694502
f2,1,0,-0.000821512785661542
f2,0,1,-0.385939418892602
